model,stage,positive_result,key_failure,final_status,next_action
Recommended,graph-PG-to-3D-G21-full-pair,"typed dynamic full-pair and all engineering checks pass; 8/8 improved/compatible","step1024 raw/projected 0.22347/0.15233 A worse than sparse 0.20373/0.13823",FAIL_GRAPH_PG_3D_G21_TIER1_STOP_AND_DIAGNOSE,"separate bonded/local/nonbonded channels and add explicit geometry objectives"
Recommended,graph-PG-to-3D-G22-three-channel,"bonded/local/global independent aggregation; geometry objectives and all engineering checks pass; 8/8 improved/collision-free/C2-compatible","step1024 raw/projected 0.18571/0.12376 A still above 0.08/0.05",FAIL_GRAPH_PG_3D_G22_C2_TIER1_STOP_AND_DIAGNOSE,"bounded channel/noise diagnosis; no C2-C3 tier4 or dataset fine-tuning"
Recommended,Semla-EquiInv-fast32-v2,"32 IID-train plus 8 held-out C2/C3; loss ratio 0.3044; symmetry improved 31/32; PG sensitivity 0.183 A","validation RMSD ratio 3.317; improved 7/32; collision-free 13/32; compatible 19/32",FAIL_SEMLA_BACKBONE_FAST32_V2_SWITCH_ONCE_TO_EQGAT,"retain backbone; replace absolute-x0 task with coordinate flow matching"
Recommended,EQGAT-fast32,"same frozen panel/budget; finite engineering; symmetry improved 32/32; PG sensitivity 0.102 A","validation RMSD ratio 4.228; improved 5/32; collision-free 8/32; compatible 10/32",FAIL_EQGAT_FAST32_STOP_BACKBONE_SCREEN,"stop backbone screening; no third backbone"
Recommended,Semla-coordinate-flow-fast32,"loss ratio 0.5494; recovery overall ratio 0.8204; pair-distance MAE ratio 0.7211; PG effect 0.9618 A","t0.75 recovery ratio 1.0370; collision-free 1/16; raw analyzer/compatible 0/16; correct PG better than swapped 6/16",FAIL_COORDINATE_FLOW_FAST32_STOP_ENDPOINT_BRANCH,"stop endpoint flow; no integrator repair or IID long training"
Recommended,orbit-symmetry-interface,"2279/2279 IID train-validation strict pass; differentiable expansion; max operation error 6.11e-7 A; collision-free 100%; 2 Sn records","representation Gate only; no coordinate generator trained; new graphs still need automorphism/orbit mapping",PASS_SYMMETRY_BY_CONSTRUCTION_ORBIT_INTERFACE,"freeze and train C2/C3 orbit-representative coordinate baseline"
Recommended,orbit-coordinate-O0,"E3 atom proposals pooled to orbit representatives; 5/5 tests including node permutation; real C2-C3 backward and Sn strict forward; max operation error 6.03e-7 A","engineering denoising Gate only; no training or prior sampling quality result",PASS_ORBIT_COORDINATE_O0_FREEZE_O1,"implement trainer; freeze and run one 512-step C2-C3 denoising O1"
Recommended,orbit-coordinate-O1,"48-case validation improved 0.8333; coordinate ratio 0.85997; bond ratio 0.67691; max operation error 1.23e-6 A","low-noise ratio 1.01871; collision-free 0.64583; loss ratio 0.71174; four frozen checks failed",FAIL_ORBIT_COORDINATE_O1_STOP_DENOISER,"do not extend or sample; switch to orbit-constrained force-field baseline"
Recommended,orbit-force-field-F0,"48/48 bond improved; collision-free 44/48; bond ratio 0.02746; operation error 2.94e-7 A","optimizer success 14/48 below 0.75 because 34 cases reached 200 iteration limit",FAIL_ORBIT_FORCE_FIELD_F0,"retain failure; run sole pre-frozen convergence-budget repair"
Recommended,orbit-force-field-F01,"UFF coverage 2532/2532 including Sn; 48/48 bond improved; optimizer success 40/48; collision-free 44/48; operation error 2.89e-7 A","initial conformer and new-graph orbit mapping remain absent; pymatgen diagnostic unavailable in env_uae3d",PASS_ORBIT_FORCE_FIELD_F01_ADVANCE_TO_INITIAL_CONFORMER_INTERFACE,"freeze ETKDG/canonical initial-conformer and orbit-mapping interface"
Recommended,orbit-force-field-F01-PG-audit,"deterministic coordinate NPZ byte-identical; candidate analyzer 48/48; stored operation error 2.89e-7 A","compatible 44/48; four package1490 collision outputs are actual C1",FAIL_F01_INDEPENDENT_POINT_GROUP_AUDIT,"freeze one bounded short-range repulsion repair before ETKDG"
Recommended,orbit-force-field-F02-collision-repair,"four frozen package1490 cases collision-free; minimum pair distance 0.76520 A; maximum bond MAE 0.008115 A; pymatgen 4/4 C2 exact and compatible","still requires known orbit action and orbit-symmetric initial coordinates; no initial-conformer generation yet",PASS_F02_COLLISION_REPAIR_ADVANCE_TO_ETKDG,"implement ETKDG multi-conformer atom-index and orbit-mapping interface"
Recommended,etkdg-orbit-E1,"24 C2 plus 8 C3 IID-validation; 128/128 embedding; 32/32 collision-free and PG-compatible; maximum bond MAE 0.054641 A","requires known target orbit action; 3/32 use explicit terminal Lewis-resonance normalization; not new-graph generation",PASS_ETKDG_ORBIT_E1_ADVANCE_TO_DATASET_SCALE_C23,"freeze dataset-scale IID train-validation C2/C3 audit"
Recommended,etkdg-orbit-E2,"2232/2232 molecules and 8928/8928 candidates succeeded; collision-free and bond-quality 100%; independent analyzer-compatible 2223/2232; Sn 2/2","9 IID-train C2 analyzer failures; requires known target orbit action and does not generate a new graph",PASS_ETKDG_ORBIT_E2_DATASET_SCALE_C23,"freeze known-graph C2-C3 baseline; implement new-graph automorphism-orbit or PG-conditioned 2D generation"
Recommended,graph-action-E3A,"graph-only C2-C3 action recovery and full explicit-H graph validation 2232/2232; mean moved-atom fraction 0.995432; Sn 2/2","stored action literal equality 980/2232 because high-symmetry graphs admit multiple valid subgroup actions; no novel graph generation",PASS_GRAPH_ACTION_E3A_GRAPH_ONLY_C23_ADVANCE_TO_3D_HANDOFF,"stress-test recovered action with frozen E2 3D backend"
Recommended,graph-action-E3B,"16/16 molecules and 64/64 candidates succeeded; independent analyzer-compatible 16/16; exact 11/16; no C1; Sn 2/2","bounded known-graph stress panel only; deterministic interface and not a learned generator",PASS_GRAPH_ACTION_E3B_RECOVERED_ACTION_TO_3D,"begin E3-C Target-PG-conditioned symmetry-by-construction novel 2D graph baseline"
ET-Flow,EF1-zero-shot,"32/32 candidate/final bond/collision/analyzer/compatible; raw pair-distance median ratio 0.87261; projected ratio 0.93518","after common F0.2 final geometry is nearly identical to ETKDG; exact PG 20/32 versus 21/32; no Target-PG condition",PASS_ETFLOW_EF1_ZEROSHOT_ADVANCE_TO_FINETUNE_EVALUATION,"freeze EF2 bounded validation-first fine-tune protocol; keep E3-C separate"
ET-Flow,EF2-PG-conditioned-engineering,"Target_PG plus O(3) operations/permutations/orbits and raw-endpoint symmetry loss implemented; official checkpoint v2 Gate 10/10; zero-init error 0; Sn 2/2","engineering and differentiability only; 256-step training and raw sampling/actual-PG evidence not yet run",PASS_ETFLOW_EF2_ENGINEERING_FREEZE_BOUNDED_TRAINING,"run the single frozen 256-step adapter-only EF2-A in tmux"
ET-Flow,EF2-A-PG-conditioned-adapter,"official base unchanged; flow MSE ratio 0.97939; C3 improved fraction 0.68750; Sn 2/2; all finite","endpoint symmetry ratio 0.91816 above 0.80; overall/C2 improved 0.51563/0.45833; all four checkpoints fail; contiguous 192 C2 then 64 C3 order is consistent with forgetting",FAIL_ETFLOW_EF2A_ADAPTER_STOP_AND_DIAGNOSE,"freeze one endpoint-residual plus interleaved-C2-C3 EF2-A2 repair; do not extend v1 or sample IID-test"
ET-Flow,EF2-A2-endpoint-engineering,"official base unchanged; zero-init exact; gradients finite/nonzero; endpoint direction improves 64/64; alpha0.25 MSE ratio 0.56250003; Sn strict","engineering direction proof only; no adapter training or raw ODE PG-response result yet",PASS_ETFLOW_EF2A2_ENGINEERING_FREEZE_INTERLEAVED_TRAINING,"run sole frozen 256-record C2-C2-C2-C3 interleaved protocol with A1 per-sample noise preserved"
ET-Flow,EF2-A2-endpoint-adapter,"all four checkpoints pass; selected step256 endpoint symmetry ratio 0.005408; C2/C3 improved 48/48 and 16/16; flow ratio 0.699048; official base unchanged","fixed t0.5 estimated endpoint with known target action; no full raw ODE, graph-recovered action, actual-PG, condition ablation, IID-test or Core-OOD yet",PASS_ETFLOW_EF2A2_ADVANCE_TO_RAW_SAMPLING_GATE,"freeze selected checkpoint and run paired raw ODE validation with correct-swapped-ablation and independent point-group audit"
ET-Flow,EF2-B-raw-ODE-PG-response,"graph-recovered correct/alternate action operation ratios 0.01421/0.01687; improved 32/32 and 16/16; median condition effect 2.3777 A; bond quality 32/32","collision-free only 26/32 versus 90% Gate; minimum distance 0.22399 A; independent actual-PG and IID-test correctly not run",FAIL_ETFLOW_EF2B_RAW_SAMPLING_STOP_BRANCH,"stop scalar endpoint conditioner; retain evidence of raw PG response; use E3+F0.2 for deployable hard symmetry or design a new collision-aware learned branch"
ET-Flow,EF2-C-nonbonded-direction,"single PG-compatible nonbonded direction gives 32/32 post-step nonbonded collision-free and bond-quality; symmetry increase 6.94e-18 A","EF2-B all-pair Gate mixed failure types; only 3/6 failures were true nonbonded collisions and only those strictly improved",FAIL_ETFLOW_EF2C_DIRECTION_REDESIGN_BEFORE_TRAINING,"preserve failed diagnostic; add a separate canonical-short-bond lower-bound field before training"
ET-Flow,EF2-C2-overlap-direction,"6/6 failed all-pair cases improve; 32/32 post-step all-pair collision-free and bond-quality; minimum 0.641332 A; symmetry preserved","engineering direction on frozen validation endpoints only; learned overlap head and full raw ODE not yet run",PASS_ETFLOW_EF2C2_DIRECTION_FREEZE_TRAINING_BRANCH,"run sole frozen 256-step overlap-head-only protocol, then one paired A2-versus-C2 raw ODE Gate"
ET-Flow,EF2-C2-overlap-training,"fixed-endpoint overlap loss ratio 0.197811; collision-free 50/64 to 57/64; flow ratio 0.988969; symmetry ratio 1.000000; active gate 15/15; A2 unchanged","original report falsely failed because two compliant negative provenance flags were passed into all(); full raw ODE and actual-PG not yet evaluated",PASS_ETFLOW_EF2C2_TRAINING_ADVANCE_TO_RAW_ODE_GATE_AFTER_REPORT_LOGIC_AUDIT,"freeze one paired A2-versus-EF2-C2 50-step raw ODE validation Gate; keep IID-test sealed"
ET-Flow,EF2-C3-raw-overlap,"paired full ODE collision-free 26/32 to 30/32; overlap ratio 0.067558; symmetry ratio 0.967415; bond quality 32/32","sole formal failure is archived-parent coordinate reproduction max 0.008783 A above frozen 1e-4 A; max Kabsch only 0.005181 A but threshold cannot be changed posthoc",FAIL_ETFLOW_EF2C3_RAW_GEOMETRY_STOP_OVERLAP_BRANCH,"freeze a read-only CUDA ODE reproducibility diagnosis before any actual-PG audit; do not retrain or access IID-test"
ET-Flow,EF2-C4-numerical-reproducibility,"candidate interrun max Kabsch 9.33e-5 A and pair MAE 2.17e-5 A; collision 30/32 and failure set identical","A2 parent interrun Kabsch 0.00480 A confirms CUDA ODE drift; EF2-C3 formal failure remains",PASS_ETFLOW_EF2C4_NUMERICAL_REPLICATION_ADVANCE_TO_DUAL_POINT_GROUP_AUDIT,"run independent PG audit on both coordinate archives; keep IID-test and Core-OOD sealed"
ET-Flow,EF2-C5-dual-point-group,"candidate both runs analyzer-compatible 31/32 and exact 26/32; C2 23/24 and C3 8/8; repaired 3 of 4 parent failures with zero regressions","sole formal failure is A2 parent analyzer success 28/32 below the frozen 0.90 requirement; candidate-specific checks all pass",FAIL_ETFLOW_EF2C5_DUAL_POINT_GROUP_AUDIT_STOP_LEARNED_OVERLAP_BRANCH,"do not posthoc promote; decide stop or preregister a disjoint IID-validation confirmatory panel with parent diagnostic-only"
ET-Flow,EF2-C6-disjoint-confirmation,"fresh 64 IID-validation: collision and bond quality 62/64; compatible 59/64; C2 47/48; joint geometry-PG 58/64; repaired 2 parent failures with zero regressions","C3 compatible 12/16 below frozen 14/16; four C3 PG failures including one severe geometry outlier",FAIL_ETFLOW_EF2C6_DISJOINT_CONFIRMATION_STOP_LEARNED_OVERLAP_BRANCH,"stop frozen checkpoint before IID-test; any future learned branch must introduce a preregistered C3-specific model or training change"
ET-Flow,C7-RS-balanced-A2,"256 unique IID-train with C2:C3 128:128; all four endpoint checkpoints pass; selected step256 C3 endpoint ratio 0.003010 versus parent 0.012847; flow ratio 0.698924; base unchanged; Sn 2/2","fixed-time endpoint evidence only; raw ODE collision and independent actual-PG/compatible have not been tested for this checkpoint",PASS_ETFLOW_C7RS_BALANCED_A2_ENDPOINT_AWAIT_RAW_ODE,"freeze a disjoint C3-focused raw ODE and independent point-group Gate before retraining overlap head"
ET-Flow,C7-RS-raw-confirmation,"fresh disjoint 17 C2 plus 17 C3; C3 operation RMS improves 14/17 with median ratio 0.77909; C3 compatible 12/17 to 13/17; collision 27/34 to 29/34","three C3 trajectory-tail failures including package2461 operation RMS 18.8438 A and bond MAE 27.8028 A; C2 operation improves 0/17; candidate compatible C2/C3/overall only 14/17,13/17,27/34",FAIL_ETFLOW_C7RS_RAW_C3_CONFIRMATION_STOP_RESAMPLING_ONLY,"do not retrain overlap head or access IID-test; implement operation/orbit-aware bounded rollout-stable conditioner"
